City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Alappuzha,IN,78.21,overcast clouds,9.49,76.3264,Panoramic Sea Resort
183,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
185,Marsh Harbour,BS,75.15,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
186,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
187,Voh,NC,80.01,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
190,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
191,Ponta Do Sol,PT,66.83,few clouds,32.6667,-17.1,Hotel do Campo
193,Maragogi,BR,77.27,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
195,Wajima,JP,65.95,broken clouds,37.4,136.9,Wajiima Onsen Yashio
198,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
200,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
205,Port Blair,IN,82.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
209,Waddan,LY,68.74,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
211,Luxor,EG,70.54,clear sky,25.6989,32.6421,Iberotel Luxor
212,Macherla,IN,72.27,overcast clouds,16.4833,79.4333,Vivek express
213,Bengkulu,ID,82.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
215,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
216,Gizo,SB,84.58,light rain,-8.103,156.8419,Imagination Island
217,Tra Vinh,VN,83.32,overcast clouds,9.9347,106.3453,Hồng Ân
218,Cravo Norte,CO,78.76,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
221,Saint George,US,72.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
222,Davila,PH,84.76,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
224,Wagga Wagga,AU,77.59,clear sky,-35.1167,147.3667,The Club Motel and Apartments
227,Praia Da Vitoria,PT,69.76,clear sky,38.7333,-27.0667,Hotel Branco I
231,Sao Filipe,CV,78.15,overcast clouds,14.8961,-24.4956,Hotel Xaguate
232,Pemba,MZ,70.5,fog,-12.974,40.5178,Guesthouse Samotina
236,Winneba,GH,77.9,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
239,Vila Velha,BR,71.94,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
241,Dhidhdhoo,MV,80.55,scattered clouds,6.8833,73.1,Dhidhoo beach
242,Harper,LR,78.53,overcast clouds,4.375,-7.7169,Screensaver
243,Shingu,JP,72.59,scattered clouds,33.7333,135.9833,Shingu UI Hotel
244,Flinders,AU,77.81,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
245,Launceston,AU,66.61,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
246,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
250,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
251,Booue,GA,71.6,light rain,-0.0921,11.9385,Splendeur de l'équateur
255,Qui Nhon,VN,80.1,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
259,Hasaki,JP,66.6,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
265,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
272,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
281,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
282,Batemans Bay,AU,82.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
283,San Policarpo,PH,83.77,broken clouds,12.1791,125.5072,Agapita M. Nicart
285,Moron,AR,66.96,clear sky,-34.6534,-58.6198,Hotel Morón
288,Isla Mujeres,MX,66.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
289,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
291,Pocone,BR,75.11,scattered clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
292,Arraial Do Cabo,BR,70.48,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
293,Kavieng,PG,84.79,light rain,-2.5744,150.7967,Nusa Island Retreat
294,Sur,OM,73.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
296,Mandurah,AU,74.16,scattered clouds,-32.55,115.7,Atrium Hotel Mandurah
298,Guerrero Negro,MX,65.37,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
302,Kaeo,NZ,67.08,scattered clouds,-35.1,173.7833,Bushido Lodge
307,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Naze,JP,71.98,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
309,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
310,Sola,VU,81.55,scattered clouds,-13.8833,167.55,Leumerus Bungalows
311,Mae Hong Son,TH,81.68,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
313,Airai,TL,74.37,overcast clouds,-8.9266,125.4092,Juvinal Martin
314,Andros Town,BS,73.36,overcast clouds,24.7,-77.7667,Hanks place
315,Araceli,PH,83.66,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
317,Sidareja,ID,81.97,heavy intensity rain,-7.4846,108.7923,Rumah Azis Toox
319,Sungaipenuh,ID,77.27,overcast clouds,-2.0833,101.3833,penginapan citra alam
321,Garowe,SO,67.44,few clouds,8.4054,48.4845,Curubo Hotel
325,Jalu,LY,65.44,clear sky,29.0331,21.5482,صاحبة الفخامة
326,Villarrica,PY,70.02,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
328,Te Anau,NZ,67.5,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
329,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
331,Atar,MR,72.88,broken clouds,20.5169,-13.0499,Oumou Elghoura
332,Murwara,IN,65.03,scattered clouds,23.85,80.4,HOTEL BRIJWASI ROYAL
334,Kuching,MY,82.62,few clouds,1.55,110.3333,The Ranee Boutique Suites
335,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
339,Boundiali,CI,75.49,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
340,Biak,ID,84.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
343,Muli,MV,82.83,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
345,Veraval,IN,79.21,overcast clouds,20.9,70.3667,Lords Inn Somnath
347,Trairi,BR,78.76,few clouds,-3.2778,-39.2689,janelas do mar
349,Clarence Town,AU,76.6,few clouds,-32.5833,151.7833,River Downs Cottage
353,Hirara,JP,73.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
356,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
359,Tecoanapa,MX,78.58,broken clouds,16.5167,-98.75,Hotel Manglares
361,Inhambane,MZ,71.78,scattered clouds,-23.865,35.3833,Oceano
365,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
367,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
369,Mangrol,IN,78.69,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
370,Izumo,JP,69.8,light rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
375,Namibe,AO,66.72,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
376,Kapit,MY,84.33,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
379,Timon,BR,73.71,overcast clouds,-5.0942,-42.8367,Pousada dos Cocais
381,Bela,IN,66.45,broken clouds,25.9333,81.9833,Raj Bhawan
385,Moyale,KE,70.23,light rain,3.5167,39.0584,La Tahzan Guest House
386,Nouakchott,MR,69.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
387,Omboue,GA,76.5,light rain,-1.5746,9.2618,Hotel Olako
390,Quilmana,PE,65.08,overcast clouds,-12.95,-76.3833,HOSPEDAJE PARAISO
391,Palmas Bellas,PA,81.34,overcast clouds,9.2319,-80.0867,Estación de Chagres
394,Calabozo,VE,79.84,overcast clouds,8.9242,-67.4293,Hotel Giardini
395,Xuddur,SO,69.69,overcast clouds,4.1213,43.8894,Banjanay Hotel
396,Inongo,CD,70.3,overcast clouds,-1.95,18.2667,Hotel Du Lac
398,La Orilla,MX,77.77,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
399,Sao Luis De Montes Belos,BR,75.54,light rain,-16.525,-50.3722,Hotel Farol
403,Llaillay,CL,67.32,clear sky,-32.85,-70.9667,HOSTAL EDWARDS 454
