City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Severo-Kurilsk,RU,50.6789,156.125,37.09,63,99,21.34,overcast clouds
79,Seoul,KR,37.5683,126.9778,50.76,87,90,8.05,moderate rain
80,Tanda,IN,26.55,82.65,66.79,60,48,1.54,scattered clouds
81,Cidreira,BR,-30.1811,-50.2056,62.11,72,4,3.98,clear sky
82,Buala,SB,-8.145,159.5921,85.51,64,71,8.79,broken clouds
83,Walvis Bay,NA,-22.9575,14.5053,56.08,82,2,2.3,clear sky
84,Berlevag,NO,70.8578,29.0864,29.97,67,100,9.17,light snow
85,Cabo San Lucas,MX,22.8909,-109.9124,80.06,67,27,7.56,scattered clouds
86,Khatanga,RU,71.9667,102.5,11.3,94,99,12.88,overcast clouds
87,Vostok,RU,46.4856,135.8833,36.91,30,97,3.44,overcast clouds
88,Cherskiy,RU,68.75,161.3,-0.17,100,91,4.74,overcast clouds
89,Matagami,CA,49.7502,-77.6328,44.71,100,90,5.75,overcast clouds
90,Faanui,PF,-16.4833,-151.75,79.59,73,23,9.13,light rain
91,Scarborough,GB,54.2797,-0.4044,41.92,82,100,1.99,overcast clouds
92,Vaini,TO,-21.2,-175.2,80.76,89,75,8.05,moderate rain
93,Mogadouro,PT,41.3403,-6.7119,37.78,61,88,1.74,overcast clouds
94,Kota Bahru,MY,6.1333,102.2386,81.97,82,68,5.21,broken clouds
95,Donskoye,RU,45.4552,41.9741,50.13,81,89,4.81,overcast clouds
96,Talnakh,RU,69.4865,88.3972,17.8,96,100,7.16,light snow
97,Saint-Philippe,RE,-21.3585,55.7679,72.95,81,40,8.79,scattered clouds
98,Mahebourg,MU,-20.4081,57.7,75.49,83,40,5.75,scattered clouds
99,San Patricio,US,28.017,-97.5169,70.83,71,0,7.67,clear sky
100,Bethel,US,41.3712,-73.414,46.49,68,100,4.94,overcast clouds
101,East London,ZA,-33.0153,27.9116,64.36,93,100,7.94,light rain
102,The Valley,AI,18.217,-63.0578,76.86,75,66,14.2,broken clouds
103,Anapolis,BR,-16.3267,-48.9528,70.27,70,78,2.55,light rain
104,Pevek,RU,69.7008,170.3133,5.88,92,100,6.38,overcast clouds
105,Hornepayne,CA,49.2138,-84.7705,44.96,86,100,5.17,overcast clouds
106,Nantucket,US,41.2835,-70.0995,52.14,81,100,18.75,overcast clouds
107,Aykhal,RU,66.0,111.5,16.48,94,95,18.45,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,28.42,99,100,7.09,overcast clouds
109,Upernavik,GL,72.7868,-56.1549,9.88,79,7,6.78,clear sky
110,Gat,IL,31.61,34.7642,71.4,29,0,2.66,clear sky
111,Antalaha,MG,-14.9003,50.2788,71.73,85,51,6.06,broken clouds
112,Egvekinot,RU,66.3167,-179.1667,1.26,79,13,1.1,few clouds
113,Lata,PT,40.1629,-8.3327,51.04,61,98,4.0,overcast clouds
114,Klaksvik,FO,62.2266,-6.589,45.52,81,99,20.09,overcast clouds
115,Gasa,PS,31.5,34.4667,60.78,37,0,5.37,clear sky
116,Hami,CN,42.8,93.45,27.18,43,4,6.58,clear sky
117,Port Moresby,PG,-9.4431,147.1797,85.96,66,13,7.02,few clouds
118,Amahai,ID,-3.3333,128.9167,86.49,66,18,2.95,few clouds
119,Ostrovnoy,RU,68.0531,39.5131,23.97,87,99,12.86,light snow
120,Flin Flon,CA,54.7682,-101.865,33.69,75,100,4.36,overcast clouds
121,Jamestown,US,42.097,-79.2353,49.64,66,1,11.5,clear sky
122,Chokurdakh,RU,70.6333,147.9167,-14.39,94,90,6.62,overcast clouds
123,Hithadhoo,MV,-0.6,73.0833,81.77,74,96,12.06,overcast clouds
124,Palora,EC,-1.7,-77.9333,65.25,96,53,3.22,broken clouds
125,Woodward,US,36.4337,-99.3904,67.23,45,1,19.57,clear sky
